utc,util_pct,mem_used_mib,n_procs
2026-09-01T23:55:58Z,100,14017,4
2026-09-01T23:56:03Z,100,14046,4
2026-09-01T23:56:08Z,100,14046,4
2026-09-01T23:56:14Z,100,14016,4
2026-09-01T23:56:19Z,100,14016,4
2026-09-01T23:56:24Z,100,14016,4
2026-09-01T23:56:29Z,100,14016,4
2026-09-01T23:56:34Z,100,14016,4
2026-09-01T23:56:39Z,100,14016,4
2026-09-01T23:56:44Z,100,14016,4
2026-09-01T23:56:49Z,100,14016,4
2026-09-01T23:56:54Z,100,14016,4
2026-09-01T23:56:59Z,100,14016,4
2026-09-01T23:57:04Z,100,14016,4
2026-09-01T23:57:09Z,100,9279,3
2026-09-01T23:57:14Z,100,10838,4
2026-09-01T23:57:19Z,100,11478,4
2026-09-01T23:57:24Z,100,12246,4
2026-09-01T23:57:29Z,100,12246,4
2026-09-01T23:57:34Z,100,12246,4
2026-09-01T23:57:39Z,100,12246,4
2026-09-01T23:57:44Z,100,12246,4
2026-09-01T23:57:49Z,100,12246,4
2026-09-01T23:57:54Z,100,12246,4
2026-09-01T23:57:59Z,100,9299,3
2026-09-01T23:58:04Z,100,10856,4
2026-09-01T23:58:10Z,100,11660,4
2026-09-01T23:58:15Z,100,12232,4
2026-09-01T23:58:20Z,100,12232,4
2026-09-01T23:58:25Z,100,12232,4
2026-09-01T23:58:30Z,100,12232,4
2026-09-01T23:58:35Z,100,12232,4
2026-09-01T23:58:40Z,100,12232,4
2026-09-01T23:58:45Z,100,9264,3
2026-09-01T23:58:50Z,100,10602,4
2026-09-01T23:58:55Z,100,10094,4
2026-09-01T23:59:00Z,100,11020,4
2026-09-01T23:59:05Z,100,12304,4
2026-09-01T23:59:10Z,100,12304,4
2026-09-01T23:59:15Z,100,12304,4
2026-09-01T23:59:20Z,100,12304,4
2026-09-01T23:59:25Z,100,12304,4
2026-09-01T23:59:30Z,100,12304,4
2026-09-01T23:59:35Z,100,12304,4
2026-09-01T23:59:40Z,100,12304,4
2026-09-01T23:59:45Z,100,12304,4
2026-09-01T23:59:50Z,100,12304,4
2026-09-01T23:59:55Z,100,12304,4
2026-09-02T00:00:00Z,100,9358,3
2026-09-02T00:00:06Z,100,10912,4
