number	state	value	best_epoch	composite	composite_north	epochs_run	gap_ratio	n_params	p_batch	p_depth	p_dropout	p_film_hidden	p_local	p_lr	p_modes	p_wd	p_width	peak_vram_gb	r_array_share	r_centroid	r_integral	r_overlap80	r_peak_x	rn_array_share	rn_centroid	rn_integral	rn_overlap80	rn_peak_x	seconds	val_loss	val_mse_ref	wall_s
95	COMPLETE	0.000119276	42	0.854706	0.869819	68	1.10302	12621761	8	3	0.109597	32	conv3x3	0.00107143	32	0.0367842	32	3.47656	0.215253	1.03573	1.46881	1.6297	0	0.385594	0.961244	0.938652	1.6453	0	203.885	0.000119276	0.000119276	203.3
96	PRUNED	0.000145798							32	4	0.299456	32	conv3x3	0.000269396	32	0.0813493	48												165.677			
97	COMPLETE	0.00012036	28	0.646356	0.807588	54	1.10363	16827425	8	4	0.0105904	32	conv3x3	0.00130834	32	0.0404276	32	3.47656	0.162916	0.760951	1.01303	1.38977	0	0.348514	0.901812	0.865434	1.56383	0	230.697	0.00012036	0.00012036	230.1
98	COMPLETE	0.000120736	44	0.833741	0.948897	70	1.12622	9691745	8	3	0.0572406	128	conv3x3	0.000818159	28	0.0987693	32	3.11291	0.200627	1.86316	1.42665	0.90608	0	0.372747	1.96723	1.21492	0.910035	0	202.917	0.000120736	0.000120736	202.3
99	PRUNED	0.00013776							8	5	0.230656	32	conv3x3	0.00121406	32	0.0502205	48												194.884			
100	PRUNED	0.000131202							32	3	0.0461745	32	conv3x3	0.000713507	28	0.0121427	32												78.0995			
101	PRUNED	0.000147903							32	3	0.18041	32	conv3x3	0.000260698	32	0.0145883	48												129.672			
102	COMPLETE	0.000118407	45	0.778663	0.996818	71	1.07266	28390321	8	3	0.0745454	32	conv3x3	0.000540225	32	0.0668235	48	3.95564	0.231745	1.17735	1.5156	0.888989	0	0.435708	1.68354	1.48912	0.903888	0	415.035	0.000118407	0.000118407	414.5
103	COMPLETE	0.000118653	57	0.554846	0.665645	83	1.11099	28390321	8	3	0.0734227	32	conv3x3	0.000396221	32	0.00213422	48	3.47656	0.140639	0.791932	0.778058	1.09366	0	0.380977	0.835069	0.593852	1.03913	0	481.522	0.000118653	0.000118653	481
104	PRUNED	0.000142286							16	4	0.0909612	32	conv3x3	0.000228283	32	0.0923531	24												62.1562			
105	PRUNED	0.000142327							8	4	0.260948	32	conv3x3	0.000301659	20	0.000496429	16												44.3932			
106	COMPLETE	0.000118733	54	0.610997	0.721703	80	1.13853	16004017	8	3	0.0719762	32	conv3x3	0.0005761	24	0.00803517	48	3.11291	0.147204	0.687111	1.05863	1.30156	0	0.338826	0.763251	0.737402	1.42261	0	408.439	0.000118733	0.000118733	407.9
107	COMPLETE	0.000120633	39	0.650048	0.798021	65	1.12069	28418641	8	3	0.14009	128	conv3x3	0.000595263	32	1.60766e-05	48	3.95564	0.218012	0.887568	1.01332	0.910652	0	0.454241	1.01036	0.957183	0.923207	0	369.107	0.000120633	0.000120633	368.6
108	PRUNED	0.000130537							8	3	0.11257	32	conv3x3	0.000225238	28	4.26625e-05	32												61.3714			
109	PRUNED	0.00012746							8	3	0.177735	32	conv3x3	0.000308627	28	0.000103061	48												143.429			
110	PRUNED	0.000128836							16	3	0.0679136	32	conv3x3	0.000686589	32	0.0297938	32												69.3222			
111	COMPLETE	0.000120692	34	0.723413	0.803872	60	1.08365	9648065	8	3	0.0264459	32	conv1x1	0.00176855	28	0.0754598	32	3.11291	0.321992	0.870115	0.868373	1.12569	0	0.424663	1.06259	0.819586	1.12912	0	176.837	0.000120692	0.000120692	176.2
112	PRUNED	0.000145407							16	4	0.227371	32	conv1x1	0.000238793	32	0.00031525	48												142.7			
113	PRUNED	0.000131723							32	3	0.173643	32	conv3x3	0.000945111	28	0.0169825	48												104.991			
114	PRUNED	0.000134068							32	5	0.153668	32	conv3x3	0.000893096	28	0.0033219	48												136.577			
115	PRUNED	0.000135989							32	3	0.155708	32	conv1x1	0.000658776	28	0.0691419	48												79.1123			
116	PRUNED	0.000138048							32	5	0.0623143	32	conv3x3	0.00134518	28	0.0611962	48												139.201			
117	PRUNED	0.000140555							32	5	0.134996	32	conv3x3	0.000443112	32	0.0960665	48												142.16			
118	PRUNED	0.000129219							32	4	0.145088	32	conv3x3	0.000807639	32	0.0147699	48												70.3376			
119	PRUNED	0.000128836							8	3	0.161754	32	conv3x3	0.000318212	32	0.0778151	48												40.4462			
